OPCS_CODE,TREATMENT_TYPE
A598,Surgery
A611,Surgery
B012,Surgery
B013,Surgery
B014,Surgery
B018,Surgery
B019,Surgery
B041,Surgery
B061,Surgery
B068,Surgery
B27X,Surgery
B271,Surgery
B272,Surgery
B273,Surgery
B274,Surgery
B275,Surgery
B276,Surgery
B278,Surgery
B279,Surgery
B28X,Surgery
B281,Surgery
B282,Surgery
B283,Surgery
B284,Surgery
B285,Surgery
B286,Surgery
B287,Surgery
B288,Surgery
B289,Surgery
B341,Surgery
B342,Surgery
B343,Surgery
B352,Surgery
B353,Surgery
B374,Surgery
B40X,Surgery
B401,Surgery
B408,Surgery
B409,Surgery
B411,Surgery
B412,Surgery
C01X,Surgery
C011,Surgery
C012,Surgery
C013,Surgery
C018,Surgery
C019,Surgery
C02X,Surgery
C021,Surgery
C022,Surgery
C028,Surgery
C029,Surgery
C101,Surgery
C102,Surgery
C103,Surgery
C111,Surgery
C115,Surgery
C121,Surgery
C124,Surgery
C126,Surgery
C14X,Surgery
C141,Surgery
C142,Surgery
C143,Surgery
C144,Surgery
C145,Surgery
C148,Surgery
C149,Surgery
C162,Surgery
C164,Surgery
C168,Surgery
C178,Surgery
C179,Surgery
D01X,Surgery
D011,Surgery
D012,Surgery
D013,Surgery
D018,Surgery
D019,Surgery
D021,Surgery
D028,Surgery
D031,Surgery
D032,Surgery
D063,Surgery
D064,Surgery
D065,Surgery
D191,Surgery
E01X,Surgery
E011,Surgery
E018,Surgery
E019,Surgery
E02X,Surgery
E021,Surgery
E022,Surgery
E023,Surgery
E024,Surgery
E025,Surgery
E026,Surgery
E027,Surgery
E028,Surgery
E029,Surgery
E032,Surgery
E037,Surgery
E091,Surgery
E094,Surgery
E097,Surgery
E191,Surgery
E192,Surgery
E214,Surgery
E231,Surgery
E242,Surgery
E291,Surgery
E292,Surgery
E293,Surgery
E294,Surgery
E295,Surgery
E296,Surgery
E299,Surgery
E301,Surgery
E341,Surgery
E342,Surgery
E343,Surgery
E352,Surgery
E39X,Surgery
E391,Surgery
E398,Surgery
E399,Surgery
E414,Surgery
E438,Surgery
E441,Surgery
E461,Surgery
E463,Surgery
E468,Surgery
E541,Surgery
E542,Surgery
E543,Surgery
E544,Surgery
E545,Surgery
E548,Surgery
E549,Surgery
E552,Surgery
E554,Surgery
E558,Surgery
E559,Surgery
E661,Surgery
F01X,Surgery
F011,Surgery
F018,Surgery
F019,Surgery
F021,Surgery
F029,Surgery
F04X,Surgery
F041,Surgery
F042,Surgery
F048,Surgery
F049,Surgery
